,segment,H,L
297,1259483136,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259483136-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259483136-4096.hdf5
298,1259495424,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259495424-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259495424-4096.hdf5
299,1259507712,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259507712-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259507712-4096.hdf5
300,1259540480,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259540480-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259540480-4096.hdf5
301,1259560960,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259560960-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259560960-4096.hdf5
302,1259593728,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259593728-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259593728-4096.hdf5
303,1259597824,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259597824-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259597824-4096.hdf5
304,1259610112,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259610112-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259610112-4096.hdf5
305,1259614208,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259614208-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259614208-4096.hdf5
306,1259626496,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259626496-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259626496-4096.hdf5
307,1259642880,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259642880-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259642880-4096.hdf5
308,1259646976,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/H-H1_GWOSC_O3b_4KHZ_R1-1259646976-4096.hdf5,https://www.gw-openscience.org/archive/data/O3b_4KHZ_R1/1259339776/L-L1_GWOSC_O3b_4KHZ_R1-1259646976-4096.hdf5
